Item,PartNumber,Rev,NIC,Instance,Description,Type,Qty,UnitWeight,Xarm,Yarm,Zarm,PackageCode,ANDetail,DesingOwnerCode,MomentWithXarm,MomentWithYarm,MomentWithZarm,WeightWithXarm,WeightWithYarm,WeightWithZarm
1,xxx-xxx-xxx-xxx,,,,DOUBLER,D,1,0.303,226.5,0,102.1,,,,,,,,,
2,yyy-yyy-yyy-yyy,,,,STIFFENER,D,2,0.0505,226.5,0,102.1,,,,,,,,,
3,zzz-zzz-zzz-zzz,,,,FITTING,D,1,0.00202,227.9,0,101.9,,,,,,,,,
4,AN426AD-3-2,,,,RIVET,H,2,0.000156104,,,,,,,,,,,,
5,AN426AD-3-3,,,,RIVET,H,8,0.00019988,,,,,,,,,,,,
6,AN426AD-3-3.5,,,,RIVET,H,12,0.000177999,,,,,,,,,,,,
7,AN426AD-3-4,,,,RIVET,H,10,0.000243724,,,,,,,,,,,,
8,AN426AD-3-5,,,,RIVET,H,12,0.000287522,,,,,,,,,,,,
9,AN426AD-3-6,,,,RIVET,H,12,0.000331345,,,,,,,,,,,,
10,AN426AD-3-7,,,,RIVET,H,12,0.000375094,,,,,,,,,,,,
